642014,"Sung","Weeler","Florina"
2958979,"Tamara","Schoenborn","Alexandroupoli"
7448542,"Hung","Figurelli","Kalamata"
13544704,"Maire","Tibbit","Rethymno"
1624402,"Johnette","Neth","Thessaloniki"
4233143,"Luz","Monsegur","Kalyvia Thorikou"
2038761,"Yang","Dieffenbacher","Alexandroupoli"
10613780,"Ena","Ludvigson","Pefki"
7682046,"Odell","Helem","Paiania"
1595599,"Erna","Lackage","Kaisariani"
8673812,"Na","Vecchi","Vyronas"
10695205,"Olene","Tuzzo","Metamorfosi"
13475779,"Demetrius","Gibney","Keratsini"
1246349,"Sung","Cregan","Kalamaria"
10593965,"Jordon","Llorca","Korydallos"
12816704,"Rocco","Gaisford","Xanthi"
5574993,"Verena","Gerry","Voula"
11465852,"Tonie","Stetzenbach","Ilio"
1600408,"Clarice","Beu","Alexandroupoli"
3329966,"Jeromy","Michel","Agios Ioannis Renti"
5935693,"Byron","Jacox","Drama"
4698998,"Carmelina","Cutwright","Edessa"
11937520,"Mose","Lowber","Kavala"
3387403,"Austin","Staiano","Palaio Faliro"
7761899,"Ivey","Niemiec","Galatsi"
9855030,"Rodrick","Wolfman","Agia Varvara"
11903588,"Lara","Eudy","Arta"
12323862,"Brandy","Mems","Tavros"
8024618,"Chi","Ence","Aspropyrgos"
3226585,"Sydney","Seminario","Ioannina"
6965343,"Phillip","Taualii","Kalamaria"
11008479,"Amina","Sheil","Nikaia"
10160377,"Kirsten","Cheadle","Karditsa"
7795347,"Fawn","Mckray","Nikaia"
13222961,"Janiece","Cavrak","Glyka Nera"
10095031,"Han","Lady","Xanthi"
10258537,"Chun","Steimer","Melissia"
10614843,"Maris","Difalco","Ialysos"
13927231,"Kelvin","Presutti","Efkarpia"
7268325,"Odell","Niblack","Cholargos"
14289946,"Loren","Dante","Piraeus"
3198675,"Ngan","Molleur","Voula"
10923489,"Leisa","Eno","Pallini"
1610164,"Trista","Strock","Egaleo"
6584860,"Fatimah","Stergios","Efkarpia"
10876268,"Oliver","Chalker","Orestiada"
9753726,"Carley","Tara","Argyroupoli"
6167354,"Jeneva","Elmaghrabi","Sykies"
9978450,"Antonio","Ohme","Edessa"
7679791,"Laurena","Bekhit","Drapetsona"
4414552,"Camille","Santomauro","Vari"
3527295,"Zenaida","Glazier","Pyrgos"
13093066,"Syreeta","Jacox","Perama"
6057770,"Pedro","Fredericksen","Nafplio"
9401647,"Darline","Aldous","Papagou"
2720973,"Rafaela","Falkowski","Kilkis"
8699646,"Arden","Kneefe","Lamia"
12561232,"Carlos","Richberg","Chalandri"
1285856,"Elvera","Lundgreen","Pefka"
6337927,"Brian","Klinge","Nea Alikarnassos"
7753073,"Mariel","Graben","Ierapetra"
8066780,"Jazmin","Eaton","Gerakas"
5128136,"Johnie","Oh","Kos"
3687765,"Krishna","Cryar","Mytilene"
1620602,"Ena","Uhyrek","Keratsini"
13909142,"Valentin","Krolikowski","Neo Psychiko"
1584605,"Kala","Negri","Aspropyrgos"
2661474,"Cora","Struss","Missolonghi"
8951636,"Antonette","Spradley","Rafina"
11174815,"Rodrick","Gillmor","Kaisariani"
4407142,"Sharon","Hafer","Ioannina"
8183103,"Cordie","Cherny","Veria"
3953803,"Eliz","Schreurs","Nea Smyrni"
2689503,"Rebbeca","Yosten","Artemis"
2368200,"Lincoln","Goettsche","Chalandri"
11855015,"Brain","Sieminski","Peraia"
4665733,"Philomena","Llorca","Agios Dimitrios"
10796653,"Zola","Timpe","Palaio Faliro"
1923949,"Lisa","Piccone","Kalyvia Thorikou"
7607709,"Tiera","Schrecker","Mandra"
4938202,"Svetlana","Mamon","Keratsini"
10491151,"Thresa","Calhoon","Ilioupoli"
5573578,"Socorro","Wms","Keratsini"
12884279,"So","Wolfgang","Kastoria"
10550499,"Louanne","Harres","Melissia"
13758295,"Burton","Nantz","Chania"
940513,"Lupe","Oharra","Kozani"
4005068,"Emely","Chhan","Heraklion"
3972898,"Scottie","Polston","Egaleo"
4825354,"Sung","Rush","Thessaloniki"
3117179,"Tiana","Levitre","Chalcis"
2167969,"Eustolia","Tomasini","Paiania"
7522293,"Kazuko","Sheirich","Metamorfosi"
9464787,"Debroah","Caddell","Zografou"
6818134,"Judi","Chestnutt","Thessaloniki"
11425351,"Faustina","Cantave","Livadeia"
5666480,"Cherish","Neel","Orestiada"
13788734,"Fausto","Blondell","Trikala"
9643552,"Hillary","Nappier","Nea Filadelfeia"
5322290,"Hosea","Camero","Naousa"
2803744,"Long","Ziebold","Agios Ioannis Renti"
11835224,"Burl","Riskalla","Kalamata"
9418506,"Sun","Coatsworth","Florina"
7645967,"Misha","Scheib","Agios Ioannis Renti"
8913810,"Athena","Alvira","Chaidari"
4615831,"Gil","Garrington","Tavros"
6623252,"Shenika","Bilazzo","Agios Ioannis Renti"
8145844,"Fatima","Wendt","Rafina"
12189943,"Monserrate","Jamerson","Palaio Faliro"
1078873,"Charolette","Tsasie","Palaio Faliro"
146317,"Analisa","Meisinger","Thebes"
9417582,"Charolette","Wehby","Petroupoli"
8198877,"Madelyn","Chiado","Peraia"
13404805,"Tianna","Taualii","Acharnes"
2358466,"Lai","Puppe","Gazi"
6426381,"Syreeta","Tommolino","Tavros"
2831351,"Lera","Brankovich","Kaisariani"
11334694,"Marty","Agerton","Zografou"
627582,"Genie","Stribling","Larissa"
12290822,"Jene","Adolphe","Glyka Nera"
8264589,"Cari","Perrella","Irakleio"
5653157,"Kasie","Murril","Agia Paraskevi"
13590566,"Hilton","Sozio","Ellinikon"
14364447,"Windy","Mcroyal","Ptolemaida"
13404605,"Merle","Walega","Giannitsa"
6628375,"Quintin","Bergin","Glyfada"
598760,"Velma","Laforce","Nea Ionia"
3930679,"Jeana","Palo","Larissa"
2904970,"Armida","Herwehe","Koropi"
10257762,"Denisse","Stoy","Galatsi"
941057,"Sherman","Ingham","Nafplio"
873205,"Rocco","Essex","Ialysos"
4941548,"Kelsie","Neth","Neapoli"
1674072,"Corinna","Glaus","Egaleo"
6176409,"Belinda","Beadling","Larissa"
1431719,"Sunny","Mccline","Katerini"
11272683,"Riley","Gunderson","Komotini"
7576801,"Verla","Ricciardelli","Marousi"
8711844,"Vanna","Muraro","Ano Liosia"
12810397,"Leeanna","Figuroa","Komotini"
7889457,"Armida","Debenedetti","Argyroupoli"
14316119,"Katrina","Hawk","Megara"
12392014,"Olene","Bigney","Menemeni"
8478195,"Mattie","Cadigan","Agrinio"
8133569,"Catharine","Berube","Eleusina"
12648467,"Lessie","Lady","Xanthi"
12717110,"Courtney","Trossbach","Pylaia"
4793808,"Nilda","Penya","Alexandreia"
11734752,"Tobi","Moyerman","Agioi Anargyroi"
6650418,"Calista","Milbauer","Kaisariani"
11951842,"Abram","Donate","Eleusina"
4760648,"Zula","Chubbs","Patras"
2314931,"Leland","Mazor","Ierapetra"
10076258,"Roslyn","Jin","Heraklion"
2067180,"Darcey","Brasier","Ptolemaida"
2404134,"Delbert","Grismore","Polichni"
8619912,"Brian","Lavallee","Vari"
8333614,"Leonie","Blackwelder","Megara"
6694163,"Larita","Arris","Chios"
1132267,"Jacki","Ellert","Kalymnos"
8798020,"Genie","Thrash","Aigio"
9168227,"Brittaney","Dunwoody","Neo Psychiko"
3184331,"Ira","Aschbacher","Rafina"
896264,"Tobias","Bodwin","Egaleo"
4957839,"Courtney","Ficenec","Dafni"
12621693,"Leila","Hallet","Loutraki"
3185522,"Chantay","Cosgriff","Corfu"
6809024,"Trudie","Ramu","Agia Paraskevi"
1538141,"Leeanne","Whelihan","Patras"
1018593,"Dede","Tresch","Metamorfosi"
1785533,"Janiece","Wulkan","Irakleio"
7394907,"Jeannine","Sieminski","Kalamata"
5179338,"Marleen","Ziebold","Chios"
7833088,"Celina","Huffaker","Nea Smyrni"
11719927,"Hilma","Avant","Volos"
11391273,"Regine","Alcantara","Piraeus"
4639732,"Von","Snider","Kaisariani"
13377887,"Tommye","Summers","Loutraki"
